,genes
1256,UBE2Z
1257,UBE4B
1258,UBQLN4
1259,UBR5
1260,UBR7
1261,UBTF
1262,UCHL1
1263,UGT1A1
1264,ULK4P1+ULK4P2
1265,UNC45B
1266,UPF3B
1267,UQCRFS1
1268,UQCRH
1269,USP16
1270,USP27X
1271,USP49
1272,VAT1
1273,VDAC1
1274,VHLL
1275,VRK2
1276,VSIG4
1277,WBP1
1278,WDR41
1279,WDR59
1280,WDR62
1281,WDR78
1282,WDSUB1
1283,WFDC3
1284,WHAMMP2
1285,WIPF3
1286,WNK2
1287,WNT6
1288,WT1
1289,XBP1
1290,XPO4
1291,YARS2
1292,YBX1
1293,YIPF3
1294,YJEFN3
1295,YY1P2
1296,ZAN
1297,ZBTB20
1298,ZBTB4
1299,ZC3H15
1300,ZCCHC11
1301,ZCCHC7
1302,ZFP28
1303,ZFP36L2
1304,ZFP69
1305,ZNF106
1306,ZNF18
1307,ZNF202
1308,ZNF230
1309,ZNF271
1310,ZNF274
1311,ZNF316
1312,ZNF319
1313,ZNF341
1314,ZNF487
1315,ZNF561
1316,ZNF567
1317,ZNF609
1318,ZNF611
1319,ZNF641
1320,ZNF663P
1321,ZNF688
1322,ZNF695
1323,ZNF697
1324,ZNF730
1325,ZNF768
1326,ZNF80
1327,ZNF821
1328,ZNF844
1329,ZNF90
1330,ZSCAN31
1331,ZSWIM5
