,genes
1267,UBE2Z
1268,UBE4B
1269,UBQLN4
1270,UBR5
1271,UBR7
1272,UBTF
1273,UCHL1
1274,UGT1A1
1275,ULK4P1+ULK4P2
1276,UNC45B
1277,UPF3B
1278,UQCRH
1279,USP16
1280,USP27X
1281,USP49
1282,VAT1
1283,VDAC1
1284,VHLL
1285,VIPR1
1286,VRK2
1287,VSIG2
1288,VSIG4
1289,WBP1
1290,WDR41
1291,WDR59
1292,WDR62
1293,WDR78
1294,WDSUB1
1295,WFDC3
1296,WHAMMP2
1297,WIPF3
1298,WNK2
1299,WNT6
1300,WT1
1301,XBP1
1302,XPO4
1303,YARS2
1304,YBX1
1305,YIPF3
1306,YJEFN3
1307,YY1P2
1308,ZAN
1309,ZBTB20
1310,ZBTB4
1311,ZC3H15
1312,ZCCHC11
1313,ZCCHC7
1314,ZFP28
1315,ZFP36L2
1316,ZFP69
1317,ZNF106
1318,ZNF18
1319,ZNF202
1320,ZNF230
1321,ZNF271
1322,ZNF274
1323,ZNF275
1324,ZNF316
1325,ZNF319
1326,ZNF341
1327,ZNF487
1328,ZNF561
1329,ZNF567
1330,ZNF609
1331,ZNF611
1332,ZNF641
1333,ZNF663P
1334,ZNF688
1335,ZNF695
1336,ZNF697
1337,ZNF730
1338,ZNF768
1339,ZNF80
1340,ZNF821
1341,ZNF844
1342,ZNF90
1343,ZSCAN29
1344,ZSWIM5
